DATE,MONTH_DAY,TMIN,TMAX,AWND,PRCP,TMIN_AVG,TMAX_AVG,AWND_AVG,PRCP_AVG,TMIN_DEV,TMAX_DEV,AWND_DEV,PRCP_DEV,COMBINED_DEV
1990-01-01,01-01,-7.5,0.85,2.75,0.0,-6.8271428571428565,-2.0242857142857145,2.025714285714286,0.2071428571428571,-0.6728571428571435,2.8742857142857146,0.7242857142857142,-0.2071428571428571,0.5064766846538826
1990-01-02,01-02,-3.9,1.95,2.35,0.0,-6.640000000000001,-1.3914285714285717,1.9928571428571429,0.2814285714285714,2.7400000000000007,3.3414285714285716,0.3571428571428572,-0.2814285714285714,0.6430200693643349
1990-01-03,01-03,-3.05,0.3,2.8,0.0,-6.651428571428572,-1.4028571428571428,2.4228571428571426,0.2928571428571428,3.6014285714285723,1.7028571428571428,0.3771428571428572,-0.2928571428571428,0.5957674287181568
1990-01-04,01-04,-4.7,0.0,1.9,0.0,-7.15,-1.8785714285714288,2.1514285714285712,0.1785714285714285,2.45,1.8785714285714288,-0.25142857142857133,-0.1785714285714285,0.46085707355076694
1990-01-05,01-05,-5.55,1.4,1.8,0.0,-6.574285714285714,-1.882857142857143,2.3657142857142857,0.23,1.024285714285714,3.282857142857143,-0.5657142857142856,-0.23,0.531446221535018
1990-01-06,01-06,-6.4,3.6,2.3,0.0,-6.7628571428571425,-2.0771428571428574,2.1114285714285717,0.32,0.3628571428571421,5.677142857142858,0.18857142857142817,-0.32,0.5707156839809666
1990-01-07,01-07,-3.9,4.15,2.35,0.0,-6.777142857142857,-1.522857142857143,1.9457142857142855,0.1428571428571428,2.877142857142857,5.6728571428571435,0.4042857142857146,-0.1428571428571428,0.8471266656765278
1990-01-08,01-08,-0.3,3.9,1.9,0.4,-6.364285714285714,-0.9842857142857144,2.072857142857143,0.4285714285714285,6.064285714285714,4.884285714285714,-0.17285714285714304,-0.02857142857142847,1.0069419198579919
1990-01-09,01-09,-2.8,1.95,2.95,0.0,-6.558571428571429,-1.2671428571428571,2.5014285714285713,0.1571428571428571,3.758571428571429,3.217142857142857,0.44857142857142884,-0.1571428571428571,0.742024766872183
1990-01-10,01-10,-2.8,6.65,3.35,0.0,-6.08,-0.9942857142857142,2.317142857142857,0.2242857142857142,3.2800000000000002,7.644285714285715,1.032857142857143,-0.2242857142857142,1.2197257649762818
1990-01-11,01-11,-2.5,1.1,7.5,0.0,-6.1814285714285715,-1.2057142857142855,2.351428571428571,0.2142857142857143,3.6814285714285715,2.3057142857142856,5.1485714285714295,-0.2142857142857143,1.9265011040551916
1990-01-12,01-12,-6.1,-1.65,3.75,0.0,-6.71,-2.0185714285714287,2.4099999999999997,0.1742857142857142,0.6100000000000003,0.36857142857142877,1.3400000000000003,-0.1742857142857142,0.4595955841882975
1990-01-13,01-13,-5.3,2.8,3.6,0.0,-7.075714285714286,-1.85,2.0628571428571427,0.2814285714285714,1.7757142857142858,4.65,1.5371428571428574,-0.2814285714285714,0.9768391881217099
1990-01-14,01-14,-4.15,4.7,1.1,0.0,-6.7,-1.602857142857143,2.24,0.4028571428571428,2.55,6.302857142857143,-1.1400000000000001,-0.4028571428571428,1.0857702552152249
1990-01-15,01-15,-3.35,5.3,1.5,0.0,-7.344285714285714,-1.8971428571428572,2.242857142857143,0.0542857142857142,3.994285714285714,7.1971428571428575,-0.7428571428571429,-0.0542857142857142,1.158399918187076
1990-01-16,01-16,-3.05,-0.3,2.1,0.15,-6.795714285714285,-1.44,2.44,0.1885714285714285,3.7457142857142856,1.14,-0.33999999999999986,-0.03857142857142851,0.5335715806824888
1990-01-17,01-17,-3.6,0.0,2.65,0.0,-7.140000000000001,-1.792857142857143,2.36,0.4228571428571429,3.5400000000000005,1.792857142857143,0.29000000000000004,-0.4228571428571429,0.5841459721528164
1990-01-18,01-18,-4.7,0.0,2.55,0.0,-7.1414285714285715,-1.2,2.49,0.3314285714285714,2.4414285714285713,1.2,0.05999999999999961,-0.3314285714285714,0.3654320397511328
1990-01-19,01-19,-3.35,0.85,2.25,0.0,-6.774285714285714,-1.8857142857142857,2.1414285714285715,0.3157142857142857,3.424285714285714,2.7357142857142858,0.10857142857142854,-0.3157142857142857,0.5930622587418298
1990-01-20,01-20,-4.7,-0.85,2.3,0.0,-6.951428571428572,-2.144285714285714,2.0,0.4942857142857143,2.251428571428572,1.294285714285714,0.2999999999999998,-0.4942857142857143,0.43261176850321653
1990-01-21,01-21,-5.55,3.9,2.5,0.0,-6.198571428571428,-0.9542857142857144,2.224285714285714,0.1685714285714285,0.6485714285714286,4.854285714285714,0.2757142857142858,-0.1685714285714285,0.5418361254776499
1990-01-22,01-22,-2.8,2.8,2.1,0.0,-6.054285714285714,-1.0214285714285714,2.4014285714285712,0.1657142857142857,3.2542857142857144,3.821428571428571,-0.30142857142857116,-0.1657142857142857,0.7056718401046007
1990-01-23,01-23,-3.05,3.9,2.55,0.0,-6.347142857142857,-1.3857142857142857,2.355714285714286,0.2414285714285714,3.297142857142857,5.285714285714286,0.19428571428571395,-0.2414285714285714,0.8058435108950356
1990-01-24,01-24,-3.05,0.0,2.8,0.15,-6.485714285714286,-1.3014285714285714,2.192857142857143,0.3014285714285714,3.435714285714286,1.3014285714285714,0.6071428571428568,-0.15142857142857138,0.5984930120093637
1990-01-25,01-25,-5.0,1.4,2.3,0.0,-6.274285714285714,-1.5157142857142856,2.367142857142857,0.2928571428571428,1.274285714285714,2.9157142857142855,-0.06714285714285717,-0.2928571428571428,0.39583439724924224
1990-01-26,01-26,-3.9,3.9,1.9,0.0,-6.19,-0.3042857142857142,2.424285714285714,0.2071428571428571,2.2900000000000005,4.204285714285714,-0.524285714285714,-0.2071428571428571,0.7105978054467693
1990-01-27,01-27,-2.8,1.65,4.8,0.4,-5.967142857142857,-0.6257142857142857,2.3214285714285716,0.3014285714285714,3.1671428571428573,2.275714285714286,2.478571428571428,0.09857142857142864,1.1509438412341106
1990-01-28,01-28,-4.15,3.35,3.35,0.0,-6.057142857142857,-0.9414285714285716,2.2642857142857142,0.3385714285714286,1.9071428571428566,4.291428571428572,1.0857142857142859,-0.3385714285714286,0.8431572070682893
